"data";"valor"
"01/01/1991";"24,66"
"01/02/1991";"17,13"
"01/03/1991";"24,79"
"01/04/1991";"4,16"
"01/05/1991";"9,73"
"01/06/1991";"12,47"
"01/07/1991";"12,42"
"01/08/1991";"15,79"
"01/09/1991";"15,79"
"01/10/1991";"18,02"
"01/11/1991";"19,21"
"01/12/1991";"19,38"
"01/01/1992";"25,41"
"01/02/1992";"21,33"
"01/03/1992";"21,00"
"01/04/1992";"19,51"
"01/05/1992";"26,63"
"01/06/1992";"19,66"
"01/07/1992";"21,72"
"01/08/1992";"19,37"
"01/09/1992";"25,06"
"01/10/1992";"24,11"
"01/11/1992";"21,34"
"01/12/1992";"23,78"
"01/01/1993";"31,76"
"01/02/1993";"23,74"
"01/03/1993";"27,74"
"01/04/1993";"24,51"
"01/05/1993";"28,12"
"01/06/1993";"29,13"
"01/07/1993";"28,60"
"01/08/1993";"33,31"
"01/09/1993";"36,67"
"01/10/1993";"32,66"
"01/11/1993";"34,07"
"01/12/1993";"35,15"
"01/01/1994";"43,00"
"01/02/1994";"40,82"
"01/03/1994";"42,66"
"01/04/1994";"41,92"
"01/05/1994";"46,06"
"01/06/1994";"45,92"
"01/07/1994";"7,11"
"01/08/1994";"4,72"
"01/09/1994";"3,94"
"01/10/1994";"3,52"
"01/11/1994";"4,66"
"01/12/1994";"3,88"
"01/01/1995";"4,64"
"01/02/1995";"2,77"
"01/03/1995";"3,49"
"01/04/1995";"4,23"
"01/05/1995";"6,07"
"01/06/1995";"3,83"
"01/07/1995";"3,25"
"01/08/1995";"2,69"
"01/09/1995";"2,23"
"01/10/1995";"2,09"
"01/11/1995";"2,15"
"01/12/1995";"1,95"
"01/01/1996";"1,85"
"01/02/1996";"2,10"
"01/03/1996";"1,40"
"01/04/1996";"1,14"
"01/05/1996";"1,85"
"01/06/1996";"1,26"
"01/07/1996";"1,17"
"01/08/1996";"1,14"
"01/09/1996";"0,93"
"01/10/1996";"0,39"
"01/11/1996";"0,69"
"01/12/1996";"0,66"
"01/01/1997";"1,09"
"01/02/1997";"0,92"
"01/03/1997";"0,41"
"01/04/1997";"0,48"
"01/05/1997";"0,78"
"01/06/1997";"0,41"
"01/07/1997";"0,43"
"01/08/1997";"0,30"
"01/09/1997";"0,08"
"01/10/1997";"0,18"
"01/11/1997";"0,00"
"01/12/1997";"0,05"
"01/01/1998";"0,33"
"01/02/1998";"0,48"
"01/03/1998";"0,12"
"01/04/1998";"0,10"
"01/05/1998";"0,42"
"01/06/1998";"-0,15"
"01/07/1998";"0,16"
"01/08/1998";"-0,03"
"01/09/1998";"-0,15"
"01/10/1998";"-0,12"
"01/11/1998";"0,03"
"01/12/1998";"0,03"
"01/01/1999";"0,50"
"01/02/1999";"-0,23"
"01/03/1999";"0,25"
"01/04/1999";"0,14"
"01/05/1999";"0,12"
"01/06/1999";"-0,01"
"01/07/1999";"0,02"
"01/08/1999";"0,08"
"01/09/1999";"-0,07"
"01/10/1999";"0,00"
"01/11/1999";"0,13"
"01/12/1999";"0,39"
"01/01/2000";"0,66"
"01/02/2000";"0,43"
"01/03/2000";"-0,07"
"01/04/2000";"1,27"
"01/05/2000";"0,02"
"01/06/2000";"0,09"
"01/07/2000";"-0,01"
"01/08/2000";"0,25"
"01/09/2000";"0,15"
"01/10/2000";"0,15"
"01/11/2000";"0,11"
"01/12/2000";"0,19"
"01/01/2001";"0,41"
"01/02/2001";"0,71"
"01/03/2001";"0,19"
"01/04/2001";"0,61"
"01/05/2001";"0,46"
"01/06/2001";"0,42"
"01/07/2001";"0,84"
"01/08/2001";"0,58"
"01/09/2001";"0,36"
"01/10/2001";"0,34"
"01/11/2001";"0,30"
"01/12/2001";"0,34"
"01/01/2002";"0,29"
"01/02/2002";"1,15"
"01/03/2002";"0,32"
"01/04/2002";"0,40"
"01/05/2002";"0,48"
"01/06/2002";"0,12"
"01/07/2002";"0,65"
"01/08/2002";"0,46"
"01/09/2002";"0,44"
"01/10/2002";"0,31"
"01/11/2002";"0,86"
"01/12/2002";"1,04"
"01/01/2003";"0,99"
"01/02/2003";"1,38"
"01/03/2003";"0,66"
"01/04/2003";"0,38"
"01/05/2003";"0,51"
"01/06/2003";"0,58"
"01/07/2003";"0,59"
"01/08/2003";"0,64"
"01/09/2003";"0,37"
"01/10/2003";"0,47"
"01/11/2003";"0,42"
"01/12/2003";"0,54"
"01/01/2004";"0,61"
"01/02/2004";"1,62"
"01/03/2004";"0,61"
"01/04/2004";"0,33"
"01/05/2004";"0,32"
"01/06/2004";"0,34"
"01/07/2004";"0,53"
"01/08/2004";"0,74"
"01/09/2004";"0,24"
"01/10/2004";"0,41"
"01/11/2004";"0,40"
"01/12/2004";"0,72"
"01/01/2005";"0,53"
"01/02/2005";"1,68"
"01/03/2005";"0,59"
"01/04/2005";"0,39"
"01/05/2005";"0,35"
"01/06/2005";"0,43"
"01/07/2005";"0,57"
"01/08/2005";"0,40"
"01/09/2005";"0,47"
"01/10/2005";"0,43"
"01/11/2005";"0,50"
"01/12/2005";"0,25"
"01/01/2006";"0,79"
"01/02/2006";"1,33"
"01/03/2006";"0,36"
"01/04/2006";"0,36"
"01/05/2006";"0,37"
"01/06/2006";"0,22"
"01/07/2006";"0,31"
"01/08/2006";"0,35"
"01/09/2006";"0,31"
"01/10/2006";"0,49"
"01/11/2006";"0,24"
"01/12/2006";"0,32"
"01/01/2007";"0,53"
"01/02/2007";"1,20"
"01/03/2007";"0,37"
"01/04/2007";"0,27"
"01/05/2007";"0,34"
"01/06/2007";"0,35"
"01/07/2007";"0,21"
"01/08/2007";"0,55"
"01/09/2007";"0,28"
"01/10/2007";"0,41"
"01/11/2007";"0,49"
"01/12/2007";"0,63"
"01/01/2008";"0,57"
"01/02/2008";"1,28"
"01/03/2008";"0,42"
"01/04/2008";"0,48"
"01/05/2008";"0,73"
"01/06/2008";"0,62"
"01/07/2008";"0,59"
"01/08/2008";"0,61"
"01/09/2008";"0,65"
"01/10/2008";"0,51"
"01/11/2008";"0,46"
"01/12/2008";"0,52"
"01/01/2009";"0,69"
"01/02/2009";"1,68"
"01/03/2009";"0,19"
"01/04/2009";"0,59"
"01/05/2009";"0,54"
"01/06/2009";"0,42"
"01/07/2009";"0,34"
"01/08/2009";"0,52"
"01/09/2009";"0,37"
"01/10/2009";"0,20"
"01/11/2009";"0,45"
"01/12/2009";"0,50"
"01/01/2010";"0,69"
"01/02/2010";"1,48"
"01/03/2010";"0,68"
"01/04/2010";"0,52"
"01/05/2010";"0,69"
"01/06/2010";"0,48"
"01/07/2010";"0,32"
"01/08/2010";"0,42"
"01/09/2010";"0,43"
"01/10/2010";"0,60"
"01/11/2010";"0,65"
"01/12/2010";"0,90"
"01/01/2011";"0,91"
"01/02/2011";"1,93"
"01/03/2011";"0,86"
"01/04/2011";"0,59"
"01/05/2011";"0,67"
"01/06/2011";"0,55"
"01/07/2011";"0,53"
"01/08/2011";"0,54"
"01/09/2011";"0,52"
"01/10/2011";"0,53"
"01/11/2011";"0,63"
"01/12/2011";"0,73"
"01/01/2012";"1,05"
"01/02/2012";"1,25"
"01/03/2012";"0,52"
"01/04/2012";"0,76"
"01/05/2012";"0,21"
"01/06/2012";"0,52"
"01/07/2012";"0,79"
"01/08/2012";"0,49"
"01/09/2012";"0,51"
"01/10/2012";"0,51"
"01/11/2012";"0,82"
"01/12/2012";"0,98"
"01/01/2013";"0,92"
"01/02/2013";"1,30"
"01/03/2013";"0,26"
"01/04/2013";"0,54"
"01/05/2013";"0,56"
"01/06/2013";"0,64"
"01/07/2013";"0,64"
"01/08/2013";"0,60"
"01/09/2013";"0,63"
"01/10/2013";"0,52"
"01/11/2013";"0,65"
"01/12/2013";"1,16"
"01/01/2014";"0,47"
"01/02/2014";"1,24"
"01/03/2014";"1,09"
"01/04/2014";"0,44"
"01/05/2014";"0,30"
"01/06/2014";"1,09"
"01/07/2014";"-0,05"
"01/08/2014";"0,59"
"01/09/2014";"0,78"
"01/10/2014";"0,43"
"01/11/2014";"0,46"
"01/12/2014";"1,20"
"01/01/2015";"0,88"
"01/02/2015";"1,07"
"01/03/2015";"0,58"
"01/04/2015";"0,73"
"01/05/2015";"0,20"
"01/06/2015";"0,79"
"01/07/2015";"0,54"
"01/08/2015";"0,32"
"01/09/2015";"0,67"
"01/10/2015";"0,62"
"01/11/2015";"0,46"
"01/12/2015";"0,97"
"01/01/2016";"0,67"
"01/02/2016";"1,05"
"01/03/2016";"0,24"
"01/04/2016";"0,58"
"01/05/2016";"0,37"
"01/06/2016";"0,33"
"01/07/2016";"0,62"
"01/08/2016";"0,58"
"01/09/2016";"0,33"
"01/10/2016";"0,47"
"01/11/2016";"0,41"
"01/12/2016";"0,65"
"01/01/2017";"0,37"
"01/02/2017";"0,84"
"01/03/2017";"0,34"
"01/04/2017";"0,49"
"01/05/2017";"0,05"
"01/06/2017";"0,43"
"01/07/2017";"0,34"
"01/08/2017";"0,01"
"01/09/2017";"0,50"
"01/10/2017";"0,37"
"01/11/2017";"0,12"
"01/12/2017";"0,60"
"01/01/2018";"0,16"
"01/02/2018";"0,74"
"01/03/2018";"0,08"
"01/04/2018";"0,03"
"01/05/2018";"-0,09"
"01/06/2018";"0,26"
"01/07/2018";"0,68"
"01/08/2018";"-0,16"
"01/09/2018";"0,40"
"01/10/2018";"0,17"
"01/11/2018";"0,41"
"01/12/2018";"0,62"
"01/01/2019";"0,51"
"01/02/2019";"0,39"
"01/03/2019";"0,33"
"01/04/2019";"0,32"
"01/05/2019";"-0,11"
"01/06/2019";"0,34"
"01/07/2019";"0,46"
"01/08/2019";"0,07"
"01/09/2019";"0,05"
"01/10/2019";"0,19"
